method,sample_id,split,dataset,budget,dense_correct,dense_reliant,eligible_interventions,answer_fidelity,intervention_pass,intervention_answer_fidelity,legacy_flip_safe,reference_safe,combined_gold_safe,safety_pattern_64_128_256_432,minimum_observed_safe_budget,monotonic
fastv,mmstar_000068,prospective,mmstar,64,True,True,gray,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000068,prospective,mmstar,128,True,True,gray,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000068,prospective,mmstar,256,True,True,gray,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000068,prospective,mmstar,432,True,True,gray,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000089,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000089,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000089,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000089,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000091,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000091,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000091,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000091,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000092,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000092,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000092,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000092,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000094,prospective,mmstar,64,True,True,gray|blur|irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000094,prospective,mmstar,128,True,True,gray|blur|irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000094,prospective,mmstar,256,True,True,gray|blur|irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000094,prospective,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0001,432,True
fastv,mmstar_000103,prospective,mmstar,64,True,True,blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000103,prospective,mmstar,128,True,True,blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000103,prospective,mmstar,256,True,True,blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000103,prospective,mmstar,432,True,True,blur,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000105,prospective,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0111,128,True
fastv,mmstar_000105,prospective,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000105,prospective,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000105,prospective,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000113,prospective,mmstar,64,False,False,,False,True,True,False,False,,0001,432,True
fastv,mmstar_000113,prospective,mmstar,128,False,False,,False,True,True,False,False,,0001,432,True
fastv,mmstar_000113,prospective,mmstar,256,False,False,,False,True,True,False,False,,0001,432,True
fastv,mmstar_000113,prospective,mmstar,432,False,False,,True,True,True,True,True,,0001,432,True
fastv,mmstar_000124,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000124,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000124,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000124,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000131,prospective,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000131,prospective,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000131,prospective,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000131,prospective,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000139,prospective,mmstar,64,True,True,irrelevant,False,True,False,False,False,False,0000,full,True
fastv,mmstar_000139,prospective,mmstar,128,True,True,irrelevant,False,True,False,False,False,False,0000,full,True
fastv,mmstar_000139,prospective,mmstar,256,True,True,irrelevant,False,True,True,False,False,False,0000,full,True
fastv,mmstar_000139,prospective,mmstar,432,True,True,irrelevant,False,True,True,False,False,False,0000,full,True
fastv,mmstar_000154,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000154,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000154,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000154,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000155,prospective,mmstar,64,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000155,prospective,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000155,prospective,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000155,prospective,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000157,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000157,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000157,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000157,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000160,prospective,mmstar,64,True,True,irrelevant,True,False,False,False,False,False,0111,128,True
fastv,mmstar_000160,prospective,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000160,prospective,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000160,prospective,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000163,prospective,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000163,prospective,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000163,prospective,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000163,prospective,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000166,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000166,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000166,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000166,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000167,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000167,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000167,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000167,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000174,prospective,mmstar,64,True,True,gray|blur|irrelevant,False,False,True,False,False,False,0011,256,True
fastv,mmstar_000174,prospective,mmstar,128,True,True,gray|blur|irrelevant,False,False,True,False,False,False,0011,256,True
fastv,mmstar_000174,prospective,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000174,prospective,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000183,prospective,mmstar,64,True,True,gray|blur,True,False,False,False,False,False,0101,128,False
fastv,mmstar_000183,prospective,mmstar,128,True,True,gray|blur,True,True,True,True,True,True,0101,128,False
fastv,mmstar_000183,prospective,mmstar,256,True,True,gray|blur,True,False,False,False,False,False,0101,128,False
fastv,mmstar_000183,prospective,mmstar,432,True,True,gray|blur,True,True,True,True,True,True,0101,128,False
fastv,mmstar_000184,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000184,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000184,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000184,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000187,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000187,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000187,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000187,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000192,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000192,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000192,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000192,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000193,prospective,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000193,prospective,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000193,prospective,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000193,prospective,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000196,prospective,mmstar,64,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000196,prospective,mmstar,128,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000196,prospective,mmstar,256,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000196,prospective,mmstar,432,True,True,blur|irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000197,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000197,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000197,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000197,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000205,prospective,mmstar,64,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000205,prospective,mmstar,128,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000205,prospective,mmstar,256,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000205,prospective,mmstar,432,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000207,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000207,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000207,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000207,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000219,prospective,mmstar,64,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000219,prospective,mmstar,128,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000219,prospective,mmstar,256,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000219,prospective,mmstar,432,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000243,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000243,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000243,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000243,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000244,prospective,mmstar,64,True,True,gray|irrelevant,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000244,prospective,mmstar,128,True,True,gray|irrelevant,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000244,prospective,mmstar,256,True,True,gray|irrelevant,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000244,prospective,mmstar,432,True,True,gray|irrelevant,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000248,prospective,mmstar,64,True,True,gray|blur|irrelevant,False,False,True,False,False,False,0111,128,True
fastv,mmstar_000248,prospective,mmstar,128,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000248,prospective,mmstar,256,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000248,prospective,mmstar,432,True,True,gray|blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000254,prospective,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0011,256,True
fastv,mmstar_000254,prospective,mmstar,128,False,True,gray|irrelevant,True,False,False,False,False,,0011,256,True
fastv,mmstar_000254,prospective,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0011,256,True
fastv,mmstar_000254,prospective,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0011,256,True
fastv,mmstar_000257,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000257,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000257,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000257,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000267,prospective,mmstar,64,True,True,gray|irrelevant,True,False,False,False,False,False,0011,256,True
fastv,mmstar_000267,prospective,mmstar,128,True,True,gray|irrelevant,True,False,False,False,False,False,0011,256,True
fastv,mmstar_000267,prospective,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000267,prospective,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,0011,256,True
fastv,mmstar_000270,prospective,mmstar,64,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000270,prospective,mmstar,128,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000270,prospective,mmstar,256,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000270,prospective,mmstar,432,True,True,gray,True,False,False,False,False,False,0000,full,True
fastv,mmstar_000274,prospective,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0111,128,True
fastv,mmstar_000274,prospective,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000274,prospective,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000274,prospective,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000275,prospective,mmstar,64,False,True,blur|irrelevant,False,False,True,False,False,,0000,full,True
fastv,mmstar_000275,prospective,mmstar,128,False,True,blur|irrelevant,False,False,True,False,False,,0000,full,True
fastv,mmstar_000275,prospective,mmstar,256,False,True,blur|irrelevant,False,True,True,False,False,,0000,full,True
fastv,mmstar_000275,prospective,mmstar,432,False,True,blur|irrelevant,False,True,True,False,False,,0000,full,True
fastv,mmstar_000283,prospective,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0011,256,True
fastv,mmstar_000283,prospective,mmstar,128,False,True,gray|irrelevant,True,False,False,False,False,,0011,256,True
fastv,mmstar_000283,prospective,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0011,256,True
fastv,mmstar_000283,prospective,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0011,256,True
fastv,mmstar_000284,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000284,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000284,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000284,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000291,prospective,mmstar,64,False,True,blur,False,False,True,False,False,,0001,432,True
fastv,mmstar_000291,prospective,mmstar,128,False,True,blur,False,False,True,False,False,,0001,432,True
fastv,mmstar_000291,prospective,mmstar,256,False,True,blur,False,True,True,False,False,,0001,432,True
fastv,mmstar_000291,prospective,mmstar,432,False,True,blur,True,True,True,True,True,,0001,432,True
fastv,mmstar_000311,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000311,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000311,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000311,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000313,prospective,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0111,128,True
fastv,mmstar_000313,prospective,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000313,prospective,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000313,prospective,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000320,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000320,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000320,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000320,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000324,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000324,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000324,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000324,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000325,prospective,mmstar,64,True,True,gray|irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000325,prospective,mmstar,128,True,True,gray|irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000325,prospective,mmstar,256,True,True,gray|irrelevant,True,False,False,False,False,False,0001,432,True
fastv,mmstar_000325,prospective,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,0001,432,True
fastv,mmstar_000335,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000335,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000335,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000335,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000344,prospective,mmstar,64,False,True,gray|blur|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000344,prospective,mmstar,128,False,True,gray|blur|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000344,prospective,mmstar,256,False,True,gray|blur|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000344,prospective,mmstar,432,False,True,gray|blur|irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000354,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000354,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000354,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000354,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000360,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000360,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000360,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000360,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000366,prospective,mmstar,64,False,True,gray|blur|irrelevant,False,False,False,False,False,,0011,256,True
fastv,mmstar_000366,prospective,mmstar,128,False,True,gray|blur|irrelevant,True,True,False,True,False,,0011,256,True
fastv,mmstar_000366,prospective,mmstar,256,False,True,gray|blur|irrelevant,True,True,True,True,True,,0011,256,True
fastv,mmstar_000366,prospective,mmstar,432,False,True,gray|blur|irrelevant,True,True,True,True,True,,0011,256,True
fastv,mmstar_000367,prospective,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000367,prospective,mmstar,128,False,True,gray|irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000367,prospective,mmstar,256,False,True,gray|irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000367,prospective,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0001,432,True
fastv,mmstar_000369,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000369,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000369,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000369,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000370,prospective,mmstar,64,True,True,gray|irrelevant,True,False,False,False,False,False,0110,128,False
fastv,mmstar_000370,prospective,mmstar,128,True,True,gray|irrelevant,True,True,True,True,True,True,0110,128,False
fastv,mmstar_000370,prospective,mmstar,256,True,True,gray|irrelevant,True,True,True,True,True,True,0110,128,False
fastv,mmstar_000370,prospective,mmstar,432,True,True,gray|irrelevant,False,False,True,False,False,False,0110,128,False
fastv,mmstar_000375,prospective,mmstar,64,True,True,gray,True,False,False,False,False,False,0111,128,True
fastv,mmstar_000375,prospective,mmstar,128,True,True,gray,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000375,prospective,mmstar,256,True,True,gray,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000375,prospective,mmstar,432,True,True,gray,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000379,prospective,mmstar,64,False,True,gray|blur|irrelevant,False,True,False,False,False,,0111,128,True
fastv,mmstar_000379,prospective,mmstar,128,False,True,gray|blur|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000379,prospective,mmstar,256,False,True,gray|blur|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000379,prospective,mmstar,432,False,True,gray|blur|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000384,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000384,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000384,prospective,mmstar,256,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000384,prospective,mmstar,432,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000386,prospective,mmstar,64,False,True,blur,True,False,False,False,False,,0000,full,True
fastv,mmstar_000386,prospective,mmstar,128,False,True,blur,True,False,False,False,False,,0000,full,True
fastv,mmstar_000386,prospective,mmstar,256,False,True,blur,True,False,False,False,False,,0000,full,True
fastv,mmstar_000386,prospective,mmstar,432,False,True,blur,True,False,False,False,False,,0000,full,True
fastv,mmstar_000397,prospective,mmstar,64,False,False,,False,True,True,False,False,,0000,full,True
fastv,mmstar_000397,prospective,mmstar,128,False,False,,False,True,True,False,False,,0000,full,True
fastv,mmstar_000397,prospective,mmstar,256,False,False,,False,True,True,False,False,,0000,full,True
fastv,mmstar_000397,prospective,mmstar,432,False,False,,False,True,True,False,False,,0000,full,True
fastv,mmstar_000400,prospective,mmstar,64,False,True,gray|irrelevant,True,False,False,False,False,,0100,128,False
fastv,mmstar_000400,prospective,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,0100,128,False
fastv,mmstar_000400,prospective,mmstar,256,False,True,gray|irrelevant,False,False,True,False,False,,0100,128,False
fastv,mmstar_000400,prospective,mmstar,432,False,True,gray|irrelevant,False,False,True,False,False,,0100,128,False
fastv,mmstar_000405,prospective,mmstar,64,False,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000405,prospective,mmstar,128,False,False,,True,True,True,True,True,,1111,64,True
